# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 13:31:23
#   Application: spex version 0.0.121
#   References: `N132962 15 keV` revision 199 - 2025-10-23 13:24:40 -04:00
# Configuration warnings
#    None
# Spectrum
#   MMM2 Spodumene[0][all]['MMM2 Spodumene[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Spodumene[0][all],O,8,15.999,0.50987,0.03406,0.52120,0.01668,0.65334,0.01514
MMM2 Spodumene[0][all],Na,11,22.98976928,0.00195,0.00003,0.00200,0.00008,0.00174,0.00008
MMM2 Spodumene[0][all],Al,13,26.9815384,0.14874,0.00040,0.15205,0.00531,0.11302,0.00494
MMM2 Spodumene[0][all],Si,14,28.085,0.31770,0.00070,0.32476,0.01132,0.23191,0.01013
# Notes
#   Analytical total: 0.978 ± 0.034
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Spodumene[0][4][residual].msa.
#   Plot output to 'MMM2 Spodumene[0][4][quantify].pdf'
# Spectrum
#   MMM2 Spodumene[1][all]['MMM2 Spodumene[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Spodumene[1][all],O,8,15.999,0.50918,0.03398,0.52119,0.01666,0.65332,0.01512
MMM2 Spodumene[1][all],Na,11,22.98976928,0.00198,0.00003,0.00203,0.00008,0.00177,0.00008
MMM2 Spodumene[1][all],Al,13,26.9815384,0.14876,0.00040,0.15227,0.00531,0.11318,0.00494
MMM2 Spodumene[1][all],Si,14,28.085,0.31702,0.00070,0.32451,0.01130,0.23172,0.01011
# Notes
#   Analytical total: 0.977 ± 0.034
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Spodumene[1][4][residual].msa.
#   Plot output to 'MMM2 Spodumene[1][4][quantify].pdf'
# Spectrum
#   MMM2 Spodumene[2][all]['MMM2 Spodumene[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Spodumene[2][all],O,8,15.999,0.50871,0.03395,0.52099,0.01666,0.65315,0.01512
MMM2 Spodumene[2][all],Na,11,22.98976928,0.00194,0.00003,0.00199,0.00008,0.00174,0.00008
MMM2 Spodumene[2][all],Al,13,26.9815384,0.14870,0.00040,0.15229,0.00531,0.11321,0.00494
MMM2 Spodumene[2][all],Si,14,28.085,0.31707,0.00070,0.32472,0.01130,0.23191,0.01012
# Notes
#   Analytical total: 0.976 ± 0.034
#   Duane-Hunt: 15.19 keV
#   Residual written to MMM2 Spodumene[2][4][residual].msa.
#   Plot output to 'MMM2 Spodumene[2][4][quantify].pdf'
# Spectrum
#   MMM2 Spodumene[3][all]['MMM2 Spodumene[3][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Spodumene[3][all],O,8,15.999,0.50935,0.03401,0.52082,0.01667,0.65298,0.01514
MMM2 Spodumene[3][all],Na,11,22.98976928,0.00205,0.00003,0.00210,0.00008,0.00183,0.00008
MMM2 Spodumene[3][all],Al,13,26.9815384,0.14898,0.00040,0.15233,0.00531,0.11325,0.00495
MMM2 Spodumene[3][all],Si,14,28.085,0.31759,0.00070,0.32475,0.01130,0.23194,0.01012
# Notes
#   Analytical total: 0.978 ± 0.034
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Spodumene[3][4][residual].msa.
#   Plot output to 'MMM2 Spodumene[3][4][quantify].pdf'
# Spectrum
#   MMM2 Spodumene[4][all]['MMM2 Spodumene[4][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Spodumene[4][all],O,8,15.999,0.51040,0.03408,0.52137,0.01667,0.65349,0.01513
MMM2 Spodumene[4][all],Na,11,22.98976928,0.00190,0.00003,0.00194,0.00007,0.00169,0.00008
MMM2 Spodumene[4][all],Al,13,26.9815384,0.14908,0.00040,0.15229,0.00531,0.11318,0.00495
MMM2 Spodumene[4][all],Si,14,28.085,0.31759,0.00070,0.32441,0.01131,0.23164,0.01012
# Notes
#   Analytical total: 0.979 ± 0.034
#   Duane-Hunt: 15.16 keV
#   Residual written to MMM2 Spodumene[4][4][residual].msa.
#   Plot output to 'MMM2 Spodumene[4][4][quantify].pdf'
# Spectrum
#   MMM2 Spodumene[5][all]['MMM2 Spodumene[5][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
MMM2 Spodumene[5][all],O,8,15.999,0.51060,0.03409,0.52151,0.01666,0.65362,0.01512
MMM2 Spodumene[5][all],Na,11,22.98976928,0.00195,0.00003,0.00200,0.00008,0.00174,0.00008
MMM2 Spodumene[5][all],Al,13,26.9815384,0.14911,0.00040,0.15229,0.00531,0.11318,0.00495
MMM2 Spodumene[5][all],Si,14,28.085,0.31742,0.00070,0.32420,0.01130,0.23147,0.01011
# Notes
#   Analytical total: 0.979 ± 0.034
#   Duane-Hunt: 15.20 keV
#   Residual written to MMM2 Spodumene[5][4][residual].msa.
#   Plot output to 'MMM2 Spodumene[5][4][quantify].pdf'
# Spectrum
