# Configuration
#   Username: Nicholas W. M. Ritchie
#   Timestamp: 2025-10-23 12:49:28
#   Application: spex version 0.0.121
#   References: `N132962 20 keV` revision 88 - 2025-10-23 11:16:18 -04:00
# Configuration warnings
#    None
# Spectrum
#   SPI MM1 Arsenopyrite[0][all]['SPI MM1 Arsenopyrite[0][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Arsenopyrite[0][all],S,16,32.06,0.18524,0.00070,0.18581,0.00058,0.31783,0.00083
SPI MM1 Arsenopyrite[0][all],Fe,26,55.845,0.34339,0.00019,0.34443,0.00032,0.33824,0.00044
SPI MM1 Arsenopyrite[0][all],Co,27,58.933194,0.00036,0.00007,0.00037,0.00007,0.00034,0.00006
SPI MM1 Arsenopyrite[0][all],As,33,74.921595,0.46797,0.00046,0.46940,0.00042,0.34359,0.00047
# Notes
#   Analytical total: 0.99697 ± 0.00086
#   Duane-Hunt: 20.20 keV
#   Residual written to SPI MM1 Arsenopyrite[0][4][residual].msa.
#   Plot output to 'SPI MM1 Arsenopyrite[0][4][quantify].pdf'
# Spectrum
#   SPI MM1 Arsenopyrite[1][all]['SPI MM1 Arsenopyrite[1][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Arsenopyrite[1][all],S,16,32.06,0.18714,0.00071,0.18743,0.00058,0.32004,0.00083
SPI MM1 Arsenopyrite[1][all],Fe,26,55.845,0.34474,0.00019,0.34528,0.00032,0.33846,0.00044
SPI MM1 Arsenopyrite[1][all],Co,27,58.933194,0.00033,0.00007,0.00033,0.00007,0.00031,0.00006
SPI MM1 Arsenopyrite[1][all],As,33,74.921595,0.46623,0.00045,0.46696,0.00042,0.34119,0.00047
# Notes
#   Analytical total: 0.99844 ± 0.00086
#   Duane-Hunt: 19.92 keV
#   Residual written to SPI MM1 Arsenopyrite[1][4][residual].msa.
#   Plot output to 'SPI MM1 Arsenopyrite[1][4][quantify].pdf'
# Spectrum
#   SPI MM1 Arsenopyrite[2][all]['SPI MM1 Arsenopyrite[2][4].msa']
# Fit warnings
#    None
# Quantification results
Name,Element,Z,A,C[z],U[C[z]],N[z],U[N[z]],A[z],U[A[z]]
SPI MM1 Arsenopyrite[2][all],S,16,32.06,0.19135,0.00072,0.19181,0.00059,0.32603,0.00083
SPI MM1 Arsenopyrite[2][all],Fe,26,55.845,0.34561,0.00019,0.34644,0.00032,0.33806,0.00044
SPI MM1 Arsenopyrite[2][all],Co,27,58.933194,0.00025,0.00007,0.00026,0.00007,0.00024,0.00006
SPI MM1 Arsenopyrite[2][all],As,33,74.921595,0.46040,0.00045,0.46150,0.00042,0.33568,0.00047
# Notes
#   Analytical total: 0.99762 ± 0.00087
#   Duane-Hunt: 20.11 keV
#   Residual written to SPI MM1 Arsenopyrite[2][4][residual].msa.
#   Plot output to 'SPI MM1 Arsenopyrite[2][4][quantify].pdf'
# Spectrum
#   SPI MM1 Arsenopyrite[3][all]['SPI MM1 Arsenopyrite[3][4].msa']
# Fit warnings
#    None
